,역명,노선명,sub노선명,순번,lat,lng,이용자변화율
277,까치산,5호선,5호선,518,37.531768,126.846683,-0.21180943458478874
278,여의나루,5호선,5호선,527,37.527098,126.932901,-0.29892841053161456
279,광나루(장신대),5호선,5호선,546,37.545303,127.10357,-0.2674462169883216
280,고덕,5호선,5호선,552,37.555004,127.154151,-0.27331191952738876
281,화곡,5호선,5호선,517,37.541513,126.840461,-0.23017861872721979
282,명일,5호선,5호선,551,37.55137,127.143999,-0.20281979155645713
283,발산,5호선,5호선,515,37.558598,126.837668,-0.16355730244586042
284,영등포시장,5호선,5호선,524,37.522669,126.905139,-0.2379728672854633
285,동대문역사문화공원(DDP),5호선,5호선,536,37.565138,127.007896,-0.45489424729369876
286,애오개,5호선,5호선,530,37.553736,126.95682,-0.25440892778613033
287,신금호,5호선,5호선,538,37.554548,127.020331,-0.23562823640653507
288,공덕,5호선,5호선,529,37.544018,126.951592,-0.2265167008020148
289,굽은다리(강동구민회관앞),5호선,5호선,550,37.545477,127.142853,-0.23390750389035708
290,여의도,5호선,5호선,526,37.521624,126.924191,-0.13690693663418985
291,오금,5호선,5호선A,552,37.502162,127.128111,-0.24567435693792472
292,강동,5호선,5호선A,548,37.535804,127.132481,-0.22425780281891472
293,둔촌동,5호선,5호선A,549,37.527788,127.136248,-0.26629794972534027
294,방이,5호선,5호선A,551,37.508857,127.126133,-0.24592109565185716
295,올림픽공원(한국체대),5호선,5호선A,550,37.516078,127.130848,-0.2541300766034955
296,거여,5호선,5호선A,554,37.493105,127.14415,-0.15208243124629606
297,마천,5호선,5호선A,555,37.49499,127.152781,-0.107680551495826
298,개롱,5호선,5호선A,553,37.498079,127.13482,-0.25814490432094295
299,약수,6호선,6호선,633,37.55434,127.010655,-0.2628555766250458
300,버티고개,6호선,6호선,632,37.548013,127.007055,-0.28290189525758
301,안암(고대병원앞),6호선,6호선,639,37.586272,127.029005,-0.419879178894882
302,봉화산(서울의료원),6호선,6호선,647,37.617283,127.091401,-0.27978456749073743
303,돌곶이,6호선,6호선,643,37.610537,127.056431,-0.17866511879936653
304,응암,6호선,6호선,610,37.598605,126.915577,-0.209934536784814
305,월드컵경기장(성산),6호선,6호선,619,37.569532,126.899298,-0.43406777890193926
306,보문,6호선,6호선,638,37.585286,127.019381,-0.23811221120966786
307,효창공원앞,6호선,6호선,627,37.539261,126.961351,-0.22387602249394212
308,새절(신사),6호선,6호선,616,37.591148,126.913629,-0.24660562535311348
309,상수,6호선,6호선,623,37.547716,126.922852,-0.38354348194928833
310,신내,6호선,6호선,648,37.612887,127.103218,0.5082901246784088
311,증산(명지대앞),6호선,6호선,617,37.583876,126.909645,-0.21651770104861734
312,고려대(종암),6호선,6호선,640,37.590508,127.036296,-0.356618354533662
313,광흥창(서강),6호선,6호선,624,37.547456,126.931993,-0.2666644621698112
314,이태원,6호선,6호선,630,37.534488,126.994302,-0.5068495482292664
315,마포구청,6호선,6호선,620,37.563515,126.903343,-0.22837497907810378
316,청구,6호선,6호선,634,37.560245,127.013828,-0.21055267407123834
317,신당,6호선,6호선,635,37.565972,127.01782,-0.25968171804221374
318,석계,6호선,6호선,644,37.614805,127.065851,-0.2730543276935312
319,망원,6호선,6호선,621,37.556094,126.910052,-0.17738539014769938
320,창신,6호선,6호선,637,37.579661,127.015241,-0.23683234518700724
321,화랑대(서울여대입구),6호선,6호선,646,37.620064,127.084689,-0.3074609245076185
322,녹사평(용산구청),6호선,6호선,629,37.534675,126.986695,-0.369898677262561
323,태릉입구,6호선,6호선,645,37.617983,127.07512,-0.25377844899866453
324,대흥(서강대앞),6호선,6호선,625,37.547771,126.942069,-0.3018191348770696
325,디지털미디어시티,6호선,6호선,618,37.576646,126.900984,-0.1944720007000622
326,상월곡(한국과학기술연구원),6호선,6호선,642,37.606377,127.048491,-0.24183275309255725
327,삼각지,6호선,6호선,628,37.534777,126.97311,-0.30545029811623137
328,동묘앞,6호선,6호선,636,37.572627,127.016429,-0.27300941806294754
329,합정,6호선,6호선,622,37.549463,126.913739,-0.27277382251370375
330,한강진,6호선,6호선,631,37.539631,127.001725,-0.27715858688777417
